name,location__city,location__neighborhood,LONG,LAT ,categories__001,categories__002,categories__003,bio__summary,bio__url,bio__birthdate,bio__deathdate,bio__yearsActiveStart,bio__yearsActiveEnd,youtube__clipExampleUrl
Tyga,Los Angeles,Gardena,-118.311901,33.896456,rapper,,,"Micheal Ray Stevenson (born November 19, 1989), known by his stage name Tyga (a backronym for Thank you God always), is an American rapper, songwriter, singer, actor and television personality from Gardena, California.",https://en.wikipedia.org/wiki/Tyga,1989-11-19T00:00:00.000Z,null,2004,null,https://www.youtube.com/embed/LjxulQ1bEWg
Md Beddah,Vratsa,,23.555322,43.207068,rapper,,,"Deyan Minchev better known by his stage name Md Beddah, is a Bulgarian  rapper and composer from Vratsa born in 1988. He is a member of the XPRSN crew.",,null,null,2002,null,https://www.youtube.com/embed/lhyk0RFYRJI
Roxanne Shante,New York,Queensbridge,-73.943925,40.753746,rapper,,,"Roxanne Shante (born Lolita Shanté Gooden; November 9, 1969) is an American hip hop musician and rapper. Born and raised in the Queensbridge Projects of Queens, New York City, Shante first gained attention through the Roxanne Wars and was part of the Juice Crew.",https://en.wikipedia.org/wiki/Roxanne_Shante,1969-11-09T00:00:00.000Z,null,1984,1996,https://www.youtube.com/embed/0eckRNcHCKA
Ms Tee,New Orleans,Treme,-90.077871,29.970989,rapper,,,"Trishell Williams better known by his stage name Ms Tee, is an american rapper from Treme, New Orleans. She was the first female signature of Cash Money.",,null,null,1995,2011,https://www.youtube.com/embed/0V5bbHgymeU
Luniz,Oakland,,-122.168786,37.734385,group,,,"Luniz (formerly the LuniTunes) is a american duo from Oakland, California, formed by Yukmouth and Numskull. The group is best known for the internationally successful hit ""I Got 5 on It"". ",https://en.wikipedia.org/wiki/Luniz,null,null,1992,null,https://www.youtube.com/embed/HSC9cgvtkRs
Da Brat,Chicago,Westside,-87.676095,41.884104,rapper,,,"Shawntae Harris (born April 14, 1974), better known by her stage name Da Brat, is an American rapper and actress from Chicago, Illinois. ",https://en.wikipedia.org/wiki/Da_Brat,1974-04-14T00:00:00.000Z,null,1991,null,https://www.youtube.com/embed/zfpR9jKy0IQ
Noname,Chicago,Bronzeville,-87.623895,41.811987,rapper,,,"Fatimah Nyeema Warner (born September 18, 1991), better known by her stage name Noname, is an American rapper, poet and record producer from  Bronzeville, Chicago,  Illinois.",https://en.wikipedia.org/wiki/Noname_(rapper),1991-09-18T00:00:00.000Z,null,2010,null,https://www.youtube.com/embed/K58JYXhb4YA
Cellyru,Sacramento,,-121.447017,38.570506,rapper,,,"Cellyru is an american rapper from Sacramento, California. He is a member of the Mozzy Records label.\r\n",,null,null,2014,null,https://www.youtube.com/embed/teHsYkXSpe8
Dangerous Crew,Bay Area,,-122.276214,37.831781,group,,,"The Dangerous Crew was an American hip hop band formed by Oakland, California rapper and producer Todd ""Too Short"" Shaw. The Dangerous Crew consisted of both live musicians and rappers: Stuart ""Shorty B"" Jordan (bass, guitar, drums), Ramone ""Pee-Wee"" Gooden (keyboards, drums, guitar), Anthony ""Ant"" Banks (keyboards, drum programming, mixing), Sean G (live drums), and rappers Too Short, Mhisani ""Goldy"" Miller, FM Blue, Dangerous Dame, Russell ""Rappin' Ron"" Royster, Ant Diddley Dog, Robert ""Spice 1"" Green Jr. and Damani ""Father Dom"" Khaleel.",https://en.wikipedia.org/wiki/The_Dangerous_Crew,null,null,1988,1996,https://www.youtube.com/embed/NsGuD4gr1c4
Seagram,Oakland,,-122.185518,37.757858,rapper,,,"Seagram Miller (April 13, 1970 – July 31, 1996) was an American rapper from Oakland, California. Miller was shot to death in a drive-by shooting on July 31, 1996. ",https://en.wikipedia.org/wiki/Seagram_(rapper),1970-04-13T00:00:00.000Z,1996-07-31T00:00:00.000Z,1989,1996,https://www.youtube.com/embed/gYVDa_OcJNo
Kilo G,New Orleans,,-90.039491,29.942291,rapper,,,"Born Robert L. Johnson (August 28, 1976, 15th of January, 1997), Kilo G was an american rapper from New Orlean, Louisiana. He was a member of the early Cash Money record label. The 15th of January, 1997, Kilo-G was shot to death. ",https://www.discogs.com/artist/344293-Kilo-G,1976-08-28T00:00:00.000Z,null,1992,null,https://www.youtube.com/embed/rDrPf32eR4c
Lil Blood,Oakland,,-122.290202,37.816099,rapper,,,"Lil Blood, is an american rapper from West Oakland. ",,null,null,2009,null,https://www.youtube.com/embed/UDNTKZIMYOU
J Stallin,Bay Area,Cypress Village,-122.29079,37.808401,rapper,,,"Jovan Smith (born January 25, 1983), better known by his stage name J. Stalin (also stylized as J Stalin or J-Stalin), is a rapper from the Cypress Village housing projects in West Oakland.",https://en.wikipedia.org/wiki/J._Stalin,1983-01-25T00:00:00.000Z,null,2013,null,https://www.youtube.com/embed/HnQp_Tc9MD8
Chingy,St. Louis,Bad blocks,-90.282114,38.701785,rapper,,,"Howard Bailey Jr. (Born March 9, 1980), better known by his stage name Chingy, is an American rapper and actor from St Louis, Missouri.",https://en.wikipedia.org/wiki/Chingy,1980-03-09T00:00:00.000Z,null,2001,null,https://www.youtube.com/embed/iO476kD-k0g
Lil Troy,Houston,,-95.32935,29.678171,rapper,,,"Troy Lane Birklett (born February 24, 1966), better known by his stage name Lil' Troy, is an American rapper. He is the founder of the Short Stop label and was a member or the Mass 187 group. ",https://en.wikipedia.org/wiki/Lil%27_Troy,1966-02-24T00:00:00.000Z,null,1987,2007,https://www.youtube.com/embed/wA2CDJWx5So
M.O.P.,Brooklyn,Brownsville,-73.917402,40.66687,group,,,"M.O.P. (short for Mash Out Posse) is an American hip hop duo from Brooklyn, New York City. Composed of rappers Billy Danze and Lil' Fame. Although they maintain a strong underground following, they are mainly known for the song ""Ante Up"", released on their Warriorz album in 2000.",https://en.wikipedia.org/wiki/M.O.P.,null,null,1992,null,https://www.youtube.com/embed/jqPxJp5OJW0
Domo Genesis,Los Angeles,,-118.343288,33.940898,rapper,,,"Dominique Marquis Cole (born March 9, 1991), known professionally as Domo Genesis, is an American rapper and disc jockey (DJ) from Los Angeles, California. He is a member of Odd Future.",https://en.wikipedia.org/wiki/Domo_Genesis,1991-03-09T00:00:00.000Z,null,2009,null,https://www.youtube.com/embed/dKPQWyTOYFU
Biz Markie,Long Island,,-72.92998,40.851066,rapper,,,"Marcel Theo Hall (born April 8, 1964), better known by his stage name Biz Markie, is an American rapper, beatboxer, DJ, and a comedian from Long Island, New York.  ",https://en.wikipedia.org/wiki/Biz_Markie,1964-04-08T00:00:00.000Z,null,1985,null,https://www.youtube.com/embed/9aofoBrFNdg
Skee-Lo, Riverside,,-117.384666,33.938898,rapper,,,"Antoine Roundtree (born March 27, 1975), better known by his stage name Skee-Lo, is an American rapper. He is best known for his 1995 song, ""I Wish"".",https://en.wikipedia.org/wiki/Skee-Lo,1975-03-27T00:00:00.000Z,null,1990,null,https://www.youtube.com/embed/ryDOy3AosBw
Lost Boyz,Queens,South Jamaica,-73.7877,40.68668,group,,,"Lost Boyz is a hip hop group from South Jamaica, Queens, New York City formed by MC Mr. Cheeks, backup MC and promoter Freaky Tah, DJ Spigg Nice (Ronald Blackwell) and Pretty Lou (Eric Ruth).",https://en.wikipedia.org/wiki/Lost_Boyz,null,null,1993,null,https://www.youtube.com/embed/BqxRvPCJcGg
Crime Mob,Atlanta,,-84.39929,33.724833,group,,,"Crime Mob is an American hip hop group from Atlanta consisting of seven members: M.I.G., Cyco Black, Princess, Lil' Jay, Diamond, and Killa C. The group is best known for their songs ""Knuck If You Buck"" and ""Rock Yo Hips"". ",https://en.wikipedia.org/wiki/Crime_Mob,null,null,2002,2008,https://www.youtube.com/embed/TC1oURSaYoQ
Krilino,Lille,,3.046314,50.608123,rapper,,,Krilino is a french rapper from Lille.,,null,null,2013,null,https://www.youtube.com/embed/QQu3_vzF7Ps
Young Scooter,Atlanta ,Kirkwood,-84.325439,33.749363,rapper,,,"Kenneth Edward Bailey (born March 28, 1986), better known by his stage name Young Scooter, is an American rapper from Atlanta, Georgia. He is affiliated with Freebandz and 1017 Brick Squad Records.",https://en.wikipedia.org/wiki/Young_Scooter,1986-03-28T00:00:00.000Z,null,2008,null,https://www.youtube.com/embed/dlYrZqUZrRY
Lil Reese,Chicago,,-87.6446,41.756388,rapper,,,"Tavares Taylor (born January 6, 1993), known by his stage name Lil Reese, is an American rapper from Chicago, Illinois. As of 2012, Lil Reese was signed to Def Jam Recordings.",https://en.wikipedia.org/wiki/Lil_Reese,1993-01-06T00:00:00.000Z,null,2010,null,https://www.youtube.com/embed/TkgahChTkyk
Ärsenik,Villiers-Le-Bel,Quartier de la Cerisaie,2.391273,49.002985,group,,,"Ärsenik is a rap group based in Villiers-le-Bel, France, founded in 1992, and made up of two brothers, Lino (Gaëlino M'Bani) and Calbo (Calboni M'Bani), whose family is originally from Congo.",https://fr.wikipedia.org/wiki/%C3%84rsenik,null,null,1992,null,https://www.youtube.com/embed/V_6KlvS992Q
DJ Spanish Fly,Memphis,,-90.050952,35.121932,producer / dj,,,"DJ Spanish is an American DJ from Memphis, Tennessee. He is regularly considered as one of the father of the Memphis rap sound.",https://www.djspanishfly.com/home,null,null,1986,null,https://www.youtube.com/embed/fr-VE6LW8t8
Trippie Redd,Canton,,-81.348901,40.799141,rapper,singer,,"Michael Lamar White IV (born June 18, 1999), known professionally as Trippie Redd, is an American rapper and singer from Canton, Ohio.",https://en.wikipedia.org/wiki/Trippie_Redd,1999-06-18T00:00:00.000Z,null,2015,null,https://www.youtube.com/embed/wrvN87l3s08
Sara Hebe,Buenos Aires,,-58.488151,-34.618949,rapper,,,"Sara Hebe (Born 9 july 1983) is a rapper and hip-hop artist from Buenos Aires, Argentina.",https://es.wikipedia.org/wiki/Sara_Hebe,1983-07-09T00:00:00.000Z,null,2009,null,https://www.youtube.com/embed/Heu6yHUTMXk
Violadores del Verso,Zaragoza,,-0.911346,41.644846,group,,,"Violadores del Verso (Spanish for: Lyrical Molesters or Verse Rapists), also known as Doble V, are a rap music crew from Zaragoza, Spain.\r\nThe group is composed by Kase.O, Sho Hai, Lírico and R de Rumba.",https://en.wikipedia.org/wiki/Violadores_del_Verso,null,null,1998,2011,https://www.youtube.com/embed/brwIP1wI-FA
Baneva,Ankara,,32.745016,39.962226,rapper,,,Baneva is a Turkish rapper from Ankara.,,null,null,2018,null,https://www.youtube.com/embed/hZtYuMndP5s
Ezhel,Ankara,,32.836623,39.895799,rapper,,,"Ezhel (real name Ömer Sercan İpekçioğlu) is a Turkish rapper from Ankara whose music blends trap, hip-hop and reggae. ",https://en.wikipedia.org/wiki/Ezhel,null,null,2016,null,https://www.youtube.com/embed/o-OPeZIELHE
Joey Le Soldat,Ouagadougou,Tanghin,-1.530721,12.398691,rapper,,,"Joel Windtoin Sawadogo known as Joey Le Soldat, is a rapper from Ouagadougou, Burkina Faso.",http://www.joeylesoldat.com/,null,null,2012,null,https://www.youtube.com/embed/qaGFDNn6sGo
Koba la D,Evry,Quartier du Parc au Lièvre,2.447858,48.626914,rapper,,,"Koba la D is a french rapper from Evry, Essonne.",https://www.infoconcert.com/artiste/koba-la-d-170901/biographie.html,null,null,2017,null,https://www.youtube.com/embed/-C9Izxw3rOw
Payroll Giovanni,Detroit,,-83.094953,42.36834,rapper,,,"Payroll Giovanni is an american rapper from Detroit, Michigan born in 1988. He was signed to Young Jeezy’s CTE alongside his groupmates Doughboyz Cashout but is now independent and releases material as an individual artist.",https://genius.com/artists/Payroll-giovanni,null,null,2014,null,https://www.youtube.com/embed/Cpdof9yl178
DJ Fresh,Oakland,,-122.296356,37.811534,producer / dj,,,"Marqus Brown, known as DJ Fresh (born in Baltimore, Maryland) is an American hip hop producer based in Oakland, California. Best known for is Tonite Show series of albums.",https://en.wikipedia.org/wiki/DJ_Fresh_(producer),null,null,2006,null,https://www.youtube.com/embed/jsjUqQgzKXo
G Perico,Los Angeles,South Central,-118.278008,33.938479,rapper,,,"G Perico (born Jeremy Nash) is an american rapper from South Central, Los Angeles, California.  ",https://genius.com/artists/G-perico,null,null,2016,null,https://www.youtube.com/embed/7BD0SvpZNPc
Maes,Sevran,Beaudottes,2.522351,48.947632,rapper,,,"Maes is a French rapper from Sevran, Seine-Saint-Denis. ",,1995-01-10T00:00:00.000Z,null,2017,null,https://www.youtube.com/embed/tY-wJ3qTKGM
Fabe,Paris,10th District,2.348593,48.882888,rapper,,,"Fabrice ""Fabe"" (born in 1971 Paris, France) is a French rapper from 10th District of Paris. He is one of the founders of Scred Connexion.",https://en.wikipedia.org/wiki/Fabe_(French_rapper),1971-05-09T00:00:00.000Z,null,1991,2000,https://www.youtube.com/embed/JIIHafVQzjA
Benash,Boulogne Billancourt,,2.252386,48.828183,rapper,,,"Benash is a French rapper from Boulogne-Billancourt, Hauts-de-Seine. He is a member of the 40000 Gang group.",https://www.wikiwand.com/fr/Benash,1994-02-16T00:00:00.000Z,null,2012,null,https://www.youtube.com/embed/5h4d3GJHSaI
Conway,Buffalo,,-78.832976,42.911531,rapper,,,Demond Price  known professionally as Conway is an American rapper from Buffalo. He is the founder of Griselda Records alongside is brother Westside Gunn.,,null,null,2015,null,https://www.youtube.com/embed/V1o2rnJA0Rg
Maxo Kream,Alief,,-95.59578,29.672392,rapper,,,"Emekwanem Ogugua Biosah Jr. (born March 29, 1990), better known by his stage name Maxo Kream, is an American rapper and record producer from Alief, Houston, Texas.",https://en.wikipedia.org/wiki/Maxo_Kream,1990-03-29T00:00:00.000Z,null,2012,null,https://www.youtube.com/embed/JOT5pvE_ep8
Dilated peoples,Los Angeles,,-118.243796,34.041235,group,,,"Dilated Peoples is an American hip hop group from Los Angeles, California. The group is formed by Dj Babu, Evidence and Rakaa.",https://en.wikipedia.org/wiki/Dilated_Peoples,null,null,1992,null,https://www.youtube.com/embed/sevZEOUXpw4
Hopsin,Panorama City,,-118.428477,34.226321,rapper,,,"Marcus Jamal Hopson (born July 18, 1985), better known by his stage name Hopsin, is an American rapper, record producer, director and actor from Panorama City, Los Angeles, California.",https://en.wikipedia.org/wiki/Hopsin,1985-07-18T00:00:00.000Z,null,2001,null,https://www.youtube.com/embed/nbqguu8NsM4
Kamaiyah,Sacramento,,-121.458544,38.543226,rapper,,,"Kamaiyah Jamesha Johnson (born March 13, 1992) is an American rapper and singer from Sacramento, California. ",https://en.wikipedia.org/wiki/Kamaiyah,1992-03-13T00:00:00.000Z,null,2014,null,https://www.youtube.com/embed/dzY6doznXQM
Mob Figaz,Sacramento,,-121.883391,38.031207,group,,,"Mob Figaz is a Bay Area hip hop group formed by C-Bo in 1997. The members consist of Husalah, Rydah J. Klyde, and The Jacka from Pittsburg, Fed-X from Richmond and AP.9 from Oakland, California.",https://en.wikipedia.org/wiki/Mob_Figaz,null,null,1997,null,https://www.youtube.com/embed/qWwJNNNgB4k
Husalah,Pittsburg,,-121.878868,38.003711,rapper,,,"James ""Husalah"" Ratliff (born May 13, 1979), is an american rapper from Pittsburg, California. He began his career with the Pittsburg group the Mob Figaz, whose first album, C-Bo's Mob Figaz, was released in 1999.",https://en.wikipedia.org/wiki/Husalah,1979-05-13T00:00:00.000Z,null,1995,null,https://www.youtube.com/embed/TzOKc3MKVb0
C-Bo,Sacramento,The Gardens,-121.484741,38.529709,rapper,,,"Shawn Thomas (born January 14, 1972), better known by his stage name C-Bo, is an American rapper from Sacramento, California.",https://en.wikipedia.org/wiki/C-Bo,1972-01-14T00:00:00.000Z,null,1991,null,https://www.youtube.com/embed/dtvMFF6kNio
N.O.R.E.,Queens,LeFrak City,-73.862528,40.736136,rapper,,,"Victor Santiago, Jr. (born September 6, 1977), best known by his stage name N.O.R.E., formerly Noreaga, is an American rapper. Santiago first rose to prominence as one half of the East Coast hip hop duo Capone-N-Noreaga (C-N-N), alongside fellow Queens-based rapper Capone.",https://en.wikipedia.org/wiki/N.O.R.E.,1977-09-06T00:00:00.000Z,null,1995,null,https://www.youtube.com/embed/Nsji2gQTWF8
Cardi B,Bronx,Highbridge,-73.925561,40.83735,rapper,,,"Belcalis Almanzar (born October 11, 1992), known professionally as Cardi B, is an American rapper. Born and raised in Highbridge, South Bronx, New York City.",https://en.wikipedia.org/wiki/Cardi_B,1992-10-11T00:00:00.000Z,null,2015,null,https://www.youtube.com/embed/PEGccV-NOm8
6ix9ine,Brooklyn,Bushwick,-73.911077,40.687691,rapper,,,"Daniel Hernandez (born May 8, 1996), known by his stage name 6ix9ine (""six-nine""), also known as Tekashi69 or simply Tekashi, is an American rapper from Bushwick, Brooklyn.",https://en.wikipedia.org/wiki/6ix9ine,1996-05-08T00:00:00.000Z,null,2012,null,https://www.youtube.com/embed/gAs9HZC9c7Y
Blueprint Hakeem,Bamemba,,10.156693,5.953207,rapper,,,"Blueprint Hakeem is a Cameroonian rapper, from the Bafut tribe in the North West Region of Cameroon. ",,null,null,2015,null,https://www.youtube.com/embed/kBKz6WUWk7s
Drakeo The Ruler,Los Angeles,South Central,-118.252303,33.98213,rapper,,,"Drakeo the Ruler is a american rapper from South Central, Los Angles, California. ",https://genius.com/artists/Drakeo-the-ruler,null,null,2015,null,https://www.youtube.com/embed/g_erHkSrMJk
L'Skadrille,Saint-Cyr-l'École,,2.058583,48.8069,group,,,"L'Skadrille is a French rap band from Saint-Cyr-l'École, Yvelines. Formed in 1996 by 13or (Trésor) et 16ar (César).",https://fr.wikipedia.org/wiki/L%27Skadrille,null,null,1996,2010,https://www.youtube.com/embed/FiTnItJg35w
03 Greedo,Watts,Jordan Downs,-118.236665,33.947693,rapper,singer,,"03 Greedo is an American rapper/singer from Watts, Los Angeles, California.",https://genius.com/artists/03-greedo,null,null,2016,null,https://www.youtube.com/embed/0lPOXSYY1co
21 Savage,Atlanta,,-84.212236,33.833231,rapper,,,"Shayaa Bin Abraham-Joseph (born October 22, 1992), better known by his stage name 21 Savage, is an American rapper from Atlanta of Dominican and Haitian descent.",https://en.wikipedia.org/wiki/21_Savage,1992-10-22T00:00:00.000Z,null,2013,null,https://www.youtube.com/embed/6wtwpUwxQik
Lil pump,Miami,,-80.26131,25.775,rapper,,,"Gazzy Garcia (born August 17, 2000), known professionally as Lil Pump, is an American rapper, producer from Miami, Florida. ",https://en.wikipedia.org/wiki/Lil_Pump,2000-08-17T00:00:00.000Z,null,2016,null,https://youtu.be/4LfJnj66HVQ
Ministère A.M.E.R,Sarcelles,,2.380401,48.979238,group,,,"The Ministère AMER (Action, Musique Et Rap) is a French hip hop group from Sarcelles, consisting of the rappers Passi and Stomy Bugsy, DJ Ghetch, and the producer/manager Kenzy.",https://en.wikipedia.org/wiki/Minist%C3%A8re_AMER,null,null,1990,null,https://www.youtube.com/embed/CjalUVgq32E
Xavier Wulf,Memphis,East Memphis,-89.965331,35.143274,rapper,,,"Xavier (once known as Ethelwulf) Wulf is an American rapper from East Memphis, Tennessee. Wulf was a member of the rap outfit Raider Klan.",https://genius.com/artists/Xavier-wulf,null,null,2012,null,https://www.youtube.com/embed/Gvk2fJq1xhQ
Laioung,Ostuni,,17.575945,40.726051,producer / dj,rapper,,"Laïoung (born Giuseppe Bockarie Consoli, 13/08/1992), is a rapper and Italian producer. He is the cofounder of the rap crew RRR Mob.",https://it.wikipedia.org/wiki/La%C3%AFoung,1992-08-13T00:00:00.000Z,null,2014,null,https://www.youtube.com/embed/Qf6jrz9j27E
Griby,Kiev,,30.514387,50.421761,group,,,"Griby is a Ukrainian rap group from Kiev, Ukraine.",https://nl.wikipedia.org/wiki/Griby,null,null,2016,null,https://www.youtube.com/embed/pFBUh3hKKDg
AKA,Cape Town,,18.594776,-33.94417,rapper,,,"Kiernan Jarryd Forbes, known by his stage name AKA, is a South African hip hop recording artist and record producer.",https://en.wikipedia.org/wiki/AKA_(rapper),null,null,2002,null,https://www.youtube.com/embed/r8hofUKu18M
Nasty C,Durban,,31.026449,-29.848808,rapper,,,"Nsikayesizwe David Junior Ngcobo (born 11 February 1997), better known by his stage name Nasty C, is a South African rapper, songwriter and record producer from Durban.",https://en.wikipedia.org/wiki/Nasty_C,1997-02-11T00:00:00.000Z,null,2013,null,https://www.youtube.com/embed/6uWnKPVW9Ig
Cassper Nyovest,Mahikeng,Montshiwa,25.621946,-25.850028,rapper,,,"Refiloe Maele Phoolo (born 16 December 1990), professionally known as Cassper Nyovest, is a South African rapper from Mahikeng. His debut album Tsholofelo was released on 18 July 2014. He is currently signed to his own independent label and media company, Family Tree.",https://en.wikipedia.org/wiki/Cassper_Nyovest,1990-12-16T00:00:00.000Z,null,2004,null,https://www.youtube.com/embed/ui3q2g55z3A
Moha La Squale,Paris,La Bannane,2.388542,48.864272,rapper,,,"Mohamed Bellahmed, better know as Moha La Squale (born 24 February 1995) , is a French rapper from the 20th district of Paris.",https://genius.com/artists/Moha-la-squale,1995-02-24T00:00:00.000Z,null,2017,null,https://www.youtube.com/embed/96h97kNEgXM
Young MC,Queens,,-73.805135,40.692907,rapper,,,"Marvin Young (born May 10, 1967), better known by his stage name Young M.C., is an English-born American singer, rapper and actor from the Queens, New York. He is best known for his 1989 hit ""Bust a Move"". ",https://en.m.wikipedia.org/wiki/Young_MC,1967-05-10T00:00:00.000Z,null,1989,2008,https://www.youtube.com/embed/tZQQGX24Teg
Kevin Abstract,Corpus Christi,,-97.407361,27.722442,producer / dj,rapper,,"Kevin Abstract (born Ian Simpson; July 16, 1996), is an American rapper, singer-songwriter, and director. Abstract is a founding member of the Brockhampton band.",https://en.m.wikipedia.org/wiki/Kevin_Abstract,1996-07-16T00:00:00.000Z,null,2009,null,https://www.youtube.com/embed/1RSQaVG7_QI
Loud,Montréal,,-73.618087,45.47216,rapper,,,"Loud is the stage name of Simon Cliche Trudeau, a Canadian rapper from Montreal. Formerly associated with the band Loud Lary Ajust, he released his debut solo recording Une année record in 2017.",https://en.wikipedia.org/wiki/Loud_(rapper),null,null,2015,null,https://www.youtube.com/embed/keuA7enn7a0
