name,location__city,location__coordinates,categories__001,bio__summary,bio__birthdate,bio__deathdate
STR,Bruxelles,"4.365640, 50.829959",rapper,STR is a Belgian rapper from Bruxelles. He is a member of the 6 O'Clock Gang.,null,null
Phasm,Bruxelles,"4.381976, 50.824981",producer / dj,Phasm is a Belgian rapper and beatmaker from Bruxelles. He is a member of the Six o'clock Gang. \r\n,null,null
Tela,Memphis,"-90.011576, 35.103872",rapper,"Winston Rogers III, professionally known by his stage name Tela, is an American rapper from Memphis, Tennessee. He was associated with Eightball & MJG early in his career.",null,null
Frayser Boy,Memphis,"-89.979402, 35.211318",rapper,"Frayser Boy (born February 21, 1979) is an American rapper from Memphis, Tennessee. At the 78th Academy Awards, he won the Academy Award for Best Original Song for ""It's Hard out Here for a Pimp"" along with Three 6 Mafia members Juicy J, Crunchy Black, and DJ Paul.",2/21/79,null
OG Boo Dirty,Memphis,"-90.055980, 35.020544",rapper,"Lance Taylor, known as OG Boo Dirty, is an American rapper from Memphis, Tennessee.",null,null
Young Dolph,Memphis,"-89.927020, 35.167484",rapper,"Adolph Thornton, Jr. (born August 11, 1985), better known by his stage name Young Dolph, is an American rapper from Memphis, Tennessee.\r\n\r\n",8/11/85,null
Lil Wyte,Memphis,"-90.012184, 35.216403",rapper,"Patrick Lanshaw (born October 6, 1982), better known by his stage name Lil Wyte, is an American rapper from Frayser, Memphis, Tennessee. He is a member of the rap collective Hypnotize Minds and owner of the independent label Wyte Music.",10/6/82,null
Al Kapone,Memphis,"-89.935070, 35.174205",rapper,"Alphonzo Bailey, better known by his stage name Al Kapone, is an American rapper from Memphis, Tennessee. Al Kapone is known principally for his underground success in the Memphis hip hop scene in the 1990s.",null,null
Project Pat,Memphis,"-89.975451, 35.172035",rapper,"Patrick Houston (born February 8, 1973), better known as Project Pat is an American rapper and actor originating from Memphis, Tennessee. He is the older brother of Juicy J, the co-founder of Three 6 Mafia.",2/8/73,null
La Chat,Memphis,"-89.855549, 35.170832",rapper,"La Chat (born March 21, 1978) is an American rapper from Memphis, Tennessee. She is best known for her period as an artist on the Hypnotize Minds roster, and made regular guest appearances on many releases by other associated acts such as Three 6 Mafia and Gangsta Boo.",3/21/78,null
Tommy Wright III,Memphis,"-89.991094, 35.163836",rapper,"Tommy Wright III (born May 6, 1976) is a underground gangsta rapper from Memphis, Tennessee that began his career during the early 90s. He is also the head of many Memphis rap groups including the Manson Family and Ten Wanted Men.",5/6/76,null
Indo G,Memphis,"-90.066121, 35.107753",rapper,"Indo G (born Tobian Tools in 1973) is an American rapper from Memphis, Tennessee. First hitting the Memphis rap scene with fellow Memphian, Lil' Blunt, in the mid-1990s. He was also affiliated with the Three 6 Mafia. ",null,null
Crunchy Black,Memphis,"-90.024269, 35.171698",rapper,"Darnell Carlton (born August 20, 1974), better known by his stage name Crunchy Black, is an American rapper and Hype man. He was a member of the Three 6 Mafia until 2006.",8/20/74,null
Gangsta Blac,Memphis,"-89.907914, 35.051159",rapper,"Gangsta Blac, (born 11 November 1974) is a American rapper from Memphis Tennessee. His career began as a member of the Three 6 Mafia DJ Paul in Memphis before going solo in the mid 1990s.",11/11/74,null
Gangsta Pat,Memphis,"-89.916073, 35.107040",producer / dj,"Patrick Hall (born November 17, 1973), better known by his stage name Gangsta Pat, is an American rapper from Memphis, Tennessee who established himself in the Memphis underground during the late 1980s and is the son of Stax Records drummer, Willie Hall.",11/17/73,null
D' de Kabal,Bobigny,"2.465412, 48.912099",rapper,"D' de Kabal (born 1974) is a french rapper, slamer, writer and director from Bobigny, Seine-Saint-Denis. He is one of the founder of the french rap group Kabal.",null,null
Roffe Ruff,Gothenburg,"11.926422, 57.693858",rapper,"Roffe Ruff is a Swedish hip hop and ragga artist and music producer from Gothenburg. His real identity remains a secret, and he always wears a skull mask in his appearances.",null,null
Roc Marciano,New York,"-73.618418, 40.700130",producer / dj,"Rakeem Calief Myer (born February 11, 1978), better known by his stage name Roc Marciano, is an American rapper, and producer.\r\n\r\n",null,null
Starlito,Nashville,"-86.766458, 36.188064",rapper,"Jermaine Eric Shute (born December 15, 1984), better known by his stage name Starlito (formerly All $tar Cashville Prince) is an American rapper from Nashville, Tennessee.",12/15/84,null
Peja,Poznań,"16.909811, 52.405203",rapper,"Ryszard ""Peja"" Andrzejewski is a Polish rap musician, songwriter and producer. He is best known as the frontman of the Polish rap group Slums Attack. ",9/17/76,null
Nusky & Vaati,Paris,"2.312739, 48.840164",group,"Nusky and Vaati is a french rap duo, composed of Vaati (producer) and Nusky (rapper).",null,null
Hyacinthe,Paris,"2.329376, 48.891192",rapper,"Hyacinthe is a French rapper from crew DFHDGB (which stands for ""Des Faux Hipster et Des Grosses Bites"" and means ""False Hipsters and Big Dicks"") composed of rapper LOAS and beatmaker Krampf. His first album ""Sarah"" is out on September 29, 2017.",null,null
Fler,West Berlin,"13.175605, 52.529207",rapper,"Patrick Losensky (born 3 April 1982), known professionally as Fler is a German rapper from West Berlin.",4/3/82,null
Bushido,Berlin,"13.379405, 52.458306",rapper,"Anis Mohamed Youssef Ferchichi (born 28 September 1978), better known as Bushido, is a German rapper. In 2004, he and fellow rapper D-Bo founded the record label ersguterjunge.",9/28/78,null
Big Hawk,Houston,"-95.340298, 29.621483",rapper,"John Edward Hawkins (November 15, 1969 – May 1, 2006), better known as H.A.W.K. or Big Hawk was an American rapper from Houston, Texas and a founding member of the late DJ Screw's rap group the Screwed Up Click.",11/15/69,5/1/06
KLC,New Orleans,"-90.081109, 29.944148",producer / dj,"Craig Stephen Lawson a.k.a. KLC also know as the Drum major, (born July 15, 1969) is an American record producer from the Third Ward of New Orleans, Louisiana. He found fame as a member of No Limit Records' in-house production team, Beats by the Pound. ",7/15/69,null
Paul Wall,Houston,"-95.555588, 29.881719",rapper,"Paul Michael Slayton (born March 11, 1981), better known by his stage name Paul Wall, is an American rapper from Houston, Texas. He is affiliated with Swishahouse Records.",3/11/81,null
Mike Jones,Houston,"-95.388161, 29.792792",rapper,"Michael Jones (born November 18, 1981) is an American rapper, actor, and entrepreneur. He initially was with Swishahouse, then left to found his own label, Ice Age.",11/18/81,null
Trae Tha Truth,Houston,"-95.363456, 29.674552",rapper,"Frazier Othel Thompson III (born July 3, 1980), better known by his stage name Trae tha Truth or simply Trae, is an American hip hop recording artist from Houston, Texas.",7/3/80,null
Fat Pat,Houston,"-95.342376, 29.619981",rapper,"Patrick Lamark Hawkins (December 4, 1970 – February 3, 1998), better known by his stage name Fat Pat was an American rapper from Houston, Texas.",12/4/70,2/3/98
Big Moe,Houston,"-95.354919, 29.722827",rapper,"Kenneth Doniell Moore (August 20, 1974 – October 14, 2007), better known by his stage name Big Moe, was an American rapper from Houston, Texas.",8/20/74,10/14/07
Lil' Keke,Houston,"-95.368082, 29.660940",rapper,"Marcus Lakee Edwards (born March 29, 1976), better known by his stage name Lil' Keke, is an American rapper from Houston, Texas and original member of the Southern hip hop collective Screwed Up Click.",3/23/76,null
Lil' Flip,Houston,"-95.364623, 29.633018",rapper,"Wesley Eric Weston, Jr.[1][2] (born March 3, 1981), better known by his stage name Lil' Flip, is an American rapper from Cloverland, Houston, Texas.",3/3/81,null
"Michael ""5000"" Watts",Houston,"-95.478563, 29.863880",producer / dj,"Michael ""5000"" Watts is a record producder from Houston, Texas. He is one of the founder of Swishahouse Record.",null,null
Higher Brothers ,Chengdu ,"104.072762, 30.653503",group,"Higher Brothers are a four-man rap group from China. The members of the group are 马思唯 (MaSiWei), 丁震 (DZ), 杨俊逸 (Psy.P), and 谢宇杰 (Melo).",null,null
New African Poets ,Strasbourg,"7.771827, 48.541235",group,"New African Poets (NAP) are a French hip hop group from Strasbourg. The members of the group are Mustapha, Bilal, Malik, Aïssa, Mohammed and Karim. Most of the group come from the Neuhof quartier of Strasbourg. ",null,null
Craig Mack,New York,"-73.222561, 40.768558",rapper,"Craig Mack (May 10, 1970 – March 12, 2018) is an American rapper, who gained fame on Puff Daddy's Bad Boy Entertainment record label in the 1990s. Although his first single was released under the name MC EZ in 1988, he is best known for his 1994 hit single ""Flava In Ya Ear"", which was released under his real name.",5/10/71,3/12/18
Dead Prez,New York,"-73.988828, 40.762760",group,"Dead Prez, is a hip hop duo from the United States, composed of stic.man and M-1, formed in 1996 in New York City. They are known for their confrontational style, combined with socialist lyrics focused on both militant social justice, Marxism, and Pan-Africanism. The duo maintains an ethical stance against corporate control over the media, especially hip hop record labels.",null,null
Yoon Mi Rae,Fort Hood,"-97.769074, 31.194718",rapper,"Natasha Shanta Reid (born May 31, 1981), better known by her Korean name Yoon Mi-rae, is an American-born South Korean rapper and singer. She is currently a member of Korean hip hop trio MFBTY.",5/31/81,null
San E,Incheon,"126.694114, 37.450782",rapper,"Jung San (Korean: 정산; born January 23, 1985), more commonly known by his stage name San E (Korean: 산이), is a South Korean rapper.",1/23/85,null
Zico,Seoul,"126.904371, 37.556683",rapper,"Woo Ji-ho (Korean: 우지호; born September 14, 1992), widely known by his stage name, Zico (Korean: 지코), is a South Korean rapper, producer, singer-songwriter and leader of the boy group Block B, signed under the label Seven Seasons.",9/14/92,null
Enima,Montréal,"-73.611826, 45.584699",rapper,"Samir Slimani, better known by is stage name Enima is a Canadian rapper from Montreal.",null,null
Kalash l'Afro,Berre-l'Étang,"5.162041, 43.503402",rapper,"Kalash l'Afro (born in Berre-l'Étang, Bouches-du-Rhône in 1979) is a French rapper of Tunisian origin.",null,null
Infinit,Nice,"7.272876, 43.703100",rapper,Infinit’ is a rapper from Nice. He gained some notoriety with a song about Christian Estrosi which valued him prosecution.,null,null
VÎRUS,Rouen,"1.086528, 49.431165",rapper,"VÎRUS is a french rapper from Rouen, he is a member of the Asocial Club crew.",null,null
Saian Supa Crew,Bagneux,"2.308110, 48.796272",group,"Saïan Supa Crew was a French hip hop collective that was composed of three groups: Explicit Samouraï, OFX and Simple Spirit. It formed in 1997 and separated in 2007 after the departure of one of its leaders (along with Feniksi), Leeroy Kesiah.",null,null
