artist,song,lyrics
___Or kickin it in the video
___It's gotta be the same ass and thighs
___But you'se a groupie baby and don't look surprised
___I can see it in your eyes that you nuthin' but a trick
___Hangin' with us for some superstar dick
___Wanna autograph placed on her napkin
___After she asks ain't you the Top Dogg and don't you be rappin'
___She know what's crackin, free shows like loot
___From limos down to the Lexus Coup
___We be flossin'
___And all females love that
___Especially when you're dope platinum and you own wax
___When I met you I really didn't have to say much
___'Cause me alone just made you wanna taste and touch
___Don't be trippin' if I run up to your hoe and whole crew
___I'm gonna still let you know girl
___That it's all about you, you, you, you"

Tupac+Shakur,"Freek'n Youw/ 2Pac, K-Ci & JoJo, Outlawz","I wanna freak you
___I wanna freak you
___I wanna freak you
___I wanna freak you
___
___I wanna freak you
___I wanna freak you
___I wanna freak you
___I wanna freak you
___
___Every time I close my eyes
___I wake up feeling so horny
___I can't get you outta my mind
___Sexin' you be all I see
___I would give anything
___Just to make you understand me
___I don't give a damn about nothing else
___Freek'n you is all I need
___
___Tonight, I need your body
___Tonight, you got my time
___Tonight you won't be sorry
___Tonight, you got my mind
___You got my mind, all I wanna do is freak you
___
___What must I say
___What must I do
___To show how much
___I think about freek'n you
___What must I say
___What must I do
___To show how much
___I think about freek'n you
___
___Oooh, I could go on for days
___But I couldn't go on for weeks
___I can even play with another body
___But it wouldn't last cause I'm a freak
___Turned on by everything you say
___I'm turned on by everything you do
___And at night when I close my eyes
___I only dream of freek'n you
___
___Tonight, I need your body
___Tonight, you got my time
___Tonight you won't be sorry
___Tonight, you got my mind
___You got my mind, all I wanna do is freak you
___
___What must I say
___What must I do
___To show how much
___I think about freek'n you
___What must I say
___What must I do
___To show how much
___I think about freek'n you
___
___Freek out and freek me up and down
___DeVante Swing
___Freek out and freek me up and down
___Freek out and freek me up and down
___
___Every freek'n night and every freek'n day
___I wanna freek you baby in every freek'n way
___Every freek'n day, every freek'n night
___I wanna freek you girl
___Your body's so freek'n tight
___
___Every freek'n night and every freek'n day
___I wanna freek you baby in every freek'n way
___Every freek'n day, every freek'n night
___I wanna freek you girl
___Your body's so freek'n tight
___
___What must I say
___What must I do
___To show how much
___I think about freek'n you
___What must I say
___What must I do
___To show how much
___I think about freek'n you
___
___What must I say
___What must I do
___To show how much
___I think about freek'n you
___What must I say
___What must I do
___To show how much
___I think about freek'n you
___
___What must I say
___What must I do
___To show how much
___I think about freek'n you
___What must I say
___What must I do
___To show how much
___I think about freek'n you"

Tupac+Shakur,"Never Call You Bitch Againw/ 2Pac, Outlawz","Whassup Boo? Swear I'll never call you bitch again
___You ain't f*ck with me, hehehe
___I swear I'll never call you bitch again
___(All I just wanna say is um, if I f*ckin apologized)
___I swear I'll never call you bitch again
___(I ain't mean to call you a bitch)
___I'll never call you bitch again
___
___Damn - gave my homey 90 days for domestic violence
___I try to picture myself, in this position but remain silent
___I get to thinkin bout this shit, we been through
___We close like kin but you remain my friend to
___This life of sin, done got the both of us in trouble
___But you always stay down for a n*gga, so that's why I love you
___Reminiscin needin tissues, fightin over childish issues
___Swear I can't live witchu but withouchu every day I miss you
___When we roll you hold my pistol, my gangsta bitch-ich
___You always in the mood for love, that's why I'm sleepin witchu
___Though not the man of your dreams, my plan and schemes
___To be rich like a king, and live my life, trouble free
___I see yesterday I called you names, and played games on yo' mind
___I promise that I'll change in time
___It's a complicated world, so girl just be a friend
___I swear I'll never call you bitch again (and that's my word)
___
___We came.. too far..
___To throw it all away
___(I swear I'll never call you bitch again, believe me)
___We came.. way too far pretty baby
___To throw it all away, throw it all away
___(I swear I'll never call you bitch again, hey)
___
___I wake up early in the mornin, at the crack of dawn
___n*gga still tired so I'm yawnin, and now I'm gone
___Tryin to get my money on strong, so an early riser
___Out befo' them other guys, that's the way to profit every time
___Can't get too close, my enemies, they see ghosts, they envy me
___Plus we been beefin with the East coast, with casualites
___Got stopped in traffic, had a warrant, so they gaffled me
___But while I'm gone, watch my business, and my back for me
___My enemies think they got me crossed, they ain't knowin
___Ain't no love for player haters where you cowards goin
___You paid bail, got me out of jail, home again
___I promise not to leave you on your own again
___Cristal corks are popped, romantic, thoughts are dropped
___It's so frantic but don't panic cause we crossed the top
___I found a partner and a rider, a woman and friend
___I swear I'll never call you bitch again, believe me
___
___We came.. too far..
___To throw it all away
___(I swear I'll never call you bitch again, believe me)
___We came.. way too far pretty baby
___To throw it all away, throw it all away
___(I swear I'll never call you bitch again, hey)
___
___I know, I know
___All that is dead though, I'm changed, I'm tellin you..
___I know what time it is, gotta give a n*gga time
___To grow up why'knahmsayin? That was way back then
___
___You're my n*gga, my best friend
___Never gonna call you, a bitch again
___Yea yea yea
___Oh
___
___Witness the evil men do, all this shit I been through
___Never meant to hurt you, can we make this work boo?
___I know you been feelin pain, things are not the same
___""Waitin to Exhale"" while I'm sittin in the county jail
___Keep yo' head up, cause things are gettin better
___My cellmates shed tears off yo' last love letter
___Told 'em you would find a friend so keep yo' eyes peeled
___Sorry if I cuss but it's the suffering that I feel
___Who can I trust and if I bust will she snitch
___Even though you ain't the type to trip
___Sorry if I called you bitch
___You showed me the definition of feminine
___The difference between a pack of bitches and black women
___I see the boss for the third time, hope to see you soon
___Pictures of us kissin in the living room, in the nude
___Thanks for bein there, much more than a friend
___I swear I'll never call you bitch again, believe me
___
___We came.. too far..
___To throw it all away
___(I swear I'll never call you bitch again, believe me)
___We came.. way too far pretty baby
___To throw it all away, throw it all away
___(I swear I'll never call you bitch again, hey)
___
___We came.. too far..
___To throw it all away
___(I swear I'll never call you bitch again, believe me)
___We came.. way too far pretty baby
___To throw it all away, throw it all away
___(I swear I'll never call you bitch again, hey)"

Tupac+Shakur,"Troublesomew/ 2Pac, Outlawz","Born to wreck shit, poppin' bubble gum
___Others call me up, but momma call me troublesome
___Learned to shoot a gun, before I learned to read or write
___Never touched a pipe, made my money every night
___
___'Til I gotta (ride), a motherf*ckin' Benz
___Bitch talked to every snitch, they jeapordized me gettin' rich
___Only fifteen at a spot full of rock teens
___Full of hard knocks, ready to clock, F*CK the cops (yeah!)
___
___And we was fat like Trump
___Every n*gga packed a pump, so time to be poppin trunks
___I stood at the top of the organization
___Ready to pop a cop with no hesitations (f*ck the police) yeah
___
___Now I'm makin' all the others run
___'Cause here it comes, look out for brother troublesome
___Yeah y'all, hehe
___A n*gga named Troublesome
___
___I learned from my mistakes I'm twenty-one now
___I gotta pack of jackers out for me they hold a gun battle
___Ain't old enough to save but I behave just like a true vet
___That's cause for all the dirt I did and dirt I didn't do yet
___
___Tryin' to pop my pistol for a profit
___Copper tried to stop I didn't drop and so he got it (yeah)
___And I don't give a f*ck about it
___(Ah-yo you think you'll ever quit this shit?) I doubt it
___
___So why not take all of me
___'Cause I just love to be the n*gga that nobody else has the balls to be
___These suckers always searchin' for me, with funk
___They in a hurry to get buried with they locs up
___
___And once I let my gun pop
___Another motherf*cker drops
___I smoke a gang of buddha better yet some indo
___Crack through your window, n*gga where the f*ck the ya-yo?
___
___You tried to hesitate I couldn't wait to rush him
___I didn't trust him, he sneezed and I had to bust him
___I'm criminal I'm workin' doin' wicked shit
___So catch a Christmas cause I'm murderin' your witnesses, I'm troublesome
___
___Yeah!
___Yeah, a n*gga named Troublesome
___Now I'm on top got plenty open
___I ain't no f*ckin' joke so you can label me King of Oakland, huh
___
___As I sit back and rake my, dough in
___I let my money grown in just got rich off what they owin, huh
___And flippin' hoes, there's no open
___Keepin' a sister broke I'd rather take it from the token (give it up)
___
___A psychopath when provoked then
___All you see is smoke I pull a pistol from my, coat
___I told you we ain't havin' it (come here)
___Give up the dough, reached for his coat, started grabbin' it
___
___Bang bang! Was the sound as I jetted
___A bullet in the head so the sucker don't forget it
___But I knew that I'd be dead soon
___Crime in my head, makin' decisions in my bedroom
___
___I see task at my front do' (ahh shit)
___But I ain't goin' alive, so what the f*ck these n*ggas come for
___Just because you got a vest don't mean you escape from death (bitch)
___I put this AK to your chest it'll take your entire breath
___
___Threw a grenade in the front yard
___Six cops lunged then got crunched, here they come God
___The other cops are closin' in
___Deja vu, what do I do, here we go again (here we go again)
___
___I'd rather take my life than have these suckers clown me
___When they found me, they call me troublesome
___Troublesome, word up
___Uptown, they got a Troublesome
___
___In Crooklyn, they got a Troublesome
___In the Bronx, they got a Troublesome
___In Uptown, they got a Troublesome
___South South Bronx, they got a Troublesome
___
___The jungle, they got a Troublesome
___Washington D.C. troublesome
___Baltimore (troublesome) Miami
___Troublesome, Seattle
___
___All over this motherf*ckin' country (troublesome)
___In every single ghetto (troublesome)
___As long as there ain't money there's gonna be troublesome
___Troublesome, word up
___
___Troublesome
___Troublesome, troublesome
___Troublesome
___My n*gga named Troublesome"

Tupac+Shakur,"Homies & Thugsw/ Master P, Scarface","Verse 1:___(scarface)___Ghetto n*ggaz remain violent all the killers remain silent___n*ggaz strapped with 45's and ain't smiling___And I'm driving to a place they're all rome'___The lake we build houses but it's the hood we call home___In the ghetto the only place a motherf*cker will keep it real___We focused on the dollar bill, still___The outsiders tend to disrespect the place___Where n*ggaz do their struggling die with a straight face___Surviving, under conditions demons dinin'___You can run it but can't hide it so step aside___Its the n*gga that makin' music for the streets___Cause I love this motherf*cker like pussy with no sheets,___Cause it's deep___Some n*ggaz make it out the neighborhood and won't circle___And let the money make them nervous, what's the purpose?___A motherf*cker sitting on fat___Who done came up in the hood but he can't come back___F*ck that, I remain in the street game frame___On a mission to maintian me and take aim___In position to let my opposition know my life___Cause off in these streets I keep it real but what's right?___Surviving, sitting on a key doing business on a beeper___I'm sinking in this motherf*cker deeper___Fear the reaper that no man born or woman harm me___F*ck being a n*gga in your army; though I'm a killer___Enter the ghetto so that you can see___What I mean when I say I love this cause it love me___Let it be, stop looking at this motherf*cker strange___And talking 'bout a motherf*cking change___This is for my thug n*ggaz______(chorus x6)______This is for my homies and my thug n*ggaz (uuuuugh)______Verse 2___(master p)___'face, imagine us working at mcdonald's___And me and you selling f*cking tapes in the bahamas___Gold slug, a car full of thug n*ggaz___Twenty inch wheels candy paint so we drug dealers___No limit soldiers to the fullest___See I was raised on some red beans the size of some bullets, huh___Real ghetto n*ggaz can't be stopped___Got me mixing up dope with little j down at rap-a-lot___My phone tapped the feds on my tail___Got me paying luxury taxes on everything I build___True to the ghetto that's my life___You see that house on the lake it's for the kids and the wife___You can test me if you wanna___Cause I be dumping n*ggaz off from new orleans to california___Rowdy like a hurricane (uuuuuugh)___Independent, black owned got them hooked on this cocaine___You used to see c.e.o.'s in a suit and tie___But we young n*ggaz in tennis shoes and diamonds___Executive street millionaires___n*ggas gonna be bout it bout till we gray in the wheel chair______Chorus x6______Verse 3:___(doracell)___It's alive, and I'mma be tha muhf*ckin' one___Make these n*ggas want some___Here I come___Da last don___n*ggaz steady claiming this___Tatted on my wrist since 86___What tha f*ck?___I'm sitting in my cell block stuck___Listening to this shit my radio did___Shit, gotta change the situation___Write a letta to the warden mothaf*ck all this time wasting___Chasin' n*ggas wit my occupation___Clean across the nation___Lookin' for two-facin___The gangsta, the killa, and the dope-dealer all in one___Now past me my muthaf*ckin' gun___n*ggaz feelin' they invinsible___Til' they dealin' wit tha muthaf*ckin' principle___Doracell n*gga___I ain't scared cause 2 pac got kilt___I'm on tilt___Feelin' the muthaf*ckin' guilt___Thug n*gga___"

Tupac+Shakur,Thug's Get Lonely Toow/ Nate Dogg,"Hahahaha, man, you crazy
___
___See, it ain't easy bein' me
___Life as a celebrity is less than heavenly
___I got these fakes and these backstabbers chasing me around
___And it's always drama, whenever I wanna get around
___Momma told me, long before I ever came up
___Gotta be true to what you do and keep the game up
___'Cause things change, and jealousy becomes a factor
___Best friends at your wife's house, tryin' to mack her
___I'm on tour, but still they keep on knockin' at my door
___And I got no time to worry, I'm steady wanting more
___Every day is a test, yes, I try hard
___But I'm strugglin' with every breath, I pray to God
___That the woman that I left at home, all alone
___There ain't nothing like tryin' to bone, over the phone
___In my mind I can see her naked, I can't take it
___Got me shaking at the thought that we can make it
___I thought you knew
___
___I'm rollin' out on tour today
___You getting sad, 'cause I'm going away
___The chickenheads wanna play with me
___You getting mad, 'cause you think I'ma sway
___Some of 'em cute, some of 'em fine as f*ck
___I hear 'em scream soon as I hit the stage, nah
___Still I be getting lonely for you
___I'm coming home soon as I make this pay, make this pay
___
___I call you up long distance, on the telephone
___Wanna tuck you in even though I can't make it home
___I whisper things in your ear like you're near me
___Wonder if you feel me from far away, and can you hear me?
___It seems to me, that you're jealous
___'Cause I'm hustling and making money with the fellas
___In the backstreets, tryin' to track me, baby, hold up!
___Thugs get lonely too, but I'm a soldier
___And there's no way I'ma stop making money
___'Cause your attitude's changed and you're acting a little funny
___Always complaining, saying we don't spend time
___Can't you see I got enough stress on my mind?
___And hanging up like you all that
___Then get mad when I tell you that I'm busy, baby, call back
___Please, ain't nothing left to say to you
___Thugs get lonely too, you know
___
___I'm rollin' out on tour today
___You getting sad, 'cause I'm going away
___The chickenheads wanna play with me
___You getting mad, 'cause you think I'ma sway
___Some of 'em cute, some of 'em fine as f*ck
___I hear 'em scream soon as I hit the stage, nah
___Still I be getting lonely for you
___I'm coming home soon as I make this pay, make this pay
___
___I sit alone in my room, drinking without a care
___Talking out loud to you, like you're there
___Take your picture out my back pocket, man, it's on
___You're the first face I wanna see when I get home
___Wanna love you 'til the sun rise, buckwild
___Touching every wall in the house, thug style
___Put your hands on the headboard, think of me
___Drippin' sweat on top of you, sink and see
___This in your head that I'm making love, so turn the lights down
___Reminisce and relax 'cause, baby, right now
___I feel it in the middle of my stomach
___You whisper in my ear and baby, tell me how you really want it
___Hold on tightly, watch the ceiling
___Scratch my back's how you react, let me know you feel me
___'Cause everything I'm giving to you, is so true
___And thugs get lonely too, you know
___
___I'm rollin' out on tour today
___You getting sad, 'cause I'm going away
___The chickenheads wanna play with me
___You getting mad, 'cause you think I'ma sway
___Some of 'em cute, some of 'em fine as f*ck
___I hear 'em scream soon as I hit the stage, nah
___Still I be getting lonely for you
___I'm coming home soon as I make this pay, make this pay
___
___Yeah, thug life, baby! Steady thuggin'
___Aye, so you remember that
___Next time you sweating me when I'm on the road, baby
___Thugs get lonely too
___We ain't gotta go through all this bullshitting ass problems
___If you wanna be real with me, be real with me
___If you wanna be fake, move on to the next one, that ain't me"

Tupac+Shakur,2 of Amerikaz Most Wantedw/ Snoop Dogg,"Up out of there
___
___Ain't nothin' but a gangsta party
___Ah shit, you done f*cked up now (ain't nothin' but a gangsta party)
___You done put two of America's most wanted
___In the same motherf*ckin' place at the same motherf*ckin' time (ain't nothin' but a gangsta party)
___Y'all n*ggas about to feel this
___Break out the champagne glasses and the motherf*ckin' condoms (ain't nothin' but a gangsta party)
___Have one on us aight (ain't nothin' but a gangsta party)
___
___Picture perfect, I paint a perfect picture
___Bomb the hoochies with precision, my intention's to get richer
___With the S-N double-O-P, Dogg my f*ckin' homie
___You'se a cold-ass n*gga on them hogs
___
___Sho' 'nuff
___I keep my hand on my gun, cause they got me on the run
___Now I'm back in the courtroom waitin' on the outcome
___Free 2Pac is all that's on a n*gga's mind
___But at the same time it seems, they tryin' to take mine
___So I'mma get smart and get defensive and shit
___And put together a Million March for some gangsta shit
___
___So now they got us laced
___Two multimillionare motherf*ckers catchin' cases
___Bitches get ready for the throw down, the shit's about to go down
___Me and Snoop about to clown
___I'm losin' my religion
___I'm vicious on these stool pigeons
___You might be deep in this game, but you got the rules missing
___n*ggas be actin' like they savage, they out to get the cabbage
___I've got nothin' but love for my n*ggas living lavish
___
___I've got a pit named P, she Nigerina
___I've got a house out in the hills right next to Chino
___And, I think I've got a black Bimmer
___But my dream's to own a fly casino
___Like Bugsy Siegel, and do it all legal
___And get scooped up by the little homie in the Regal, uh
___It feels good to you baby-bubba
___You see, this is for the G's and the keys, motherf*cker
___
___Now follow as we ride
___Motherf*ck the rest, two of the best from the Westside
___And I can make you famous
___n*ggas been dyin' for years so how could they blame us
___I live in fear of a felony
___I never stop bailin' these
___Motherf*ckin' G's
___If you got it better flaunt it
___Another warrant for 2 of America's most wanted
___
___Ain't nothin' but a gangsta party
___Ain't nothin' but a gangsta party
___Ain't nothin' but a gangsta party
___Ain't nothin' but a gangsta party
___Nothin' but a gangsta party
___It ain't nothin' but a motherf*cking gangsta party
___Ain't nothin' but a gangsta party
___Nothin' but a gangsta party
___It ain't nothin' but a motherf*cking gangsta party
___Ain't nothin' but a gangsta party
___
___Now give me fifty feet
___Defeat is not my destiny, release me to the streets
___And keep whatever's left of me
___Jealousy is misery, suffering is grief
___Better be prepared when you cowards f*ck with me,
___I bust and flee
___""These n*ggas must be crazy, what?""
___There ain't no mercy, motherf*ckers who can't fade the thugs
___You thought it was but it wasn't, now disappear
___Bow down in the presence of a boss player
___
___It's like cough blood gang-bangin'
___Everybody in the party doin' dope-slangin'
___You gotta have papers in this world
___You might get your first snatch before your eyes swirl
___You doin' your job every day
___And then you work so hard 'til your hair turns gray
___Let me tell you about life and about the way it is
___You see, we live by the gun, so we die by the guns, kids
___
___They tell me not to roll with my Glock
___So now I gotta throw away
___Floating in the black Benz, trying to do a show a day
___They wonder how I live with five shots
___n*ggas is hard to kill on my block
___Schemes for currency and dough-related
___Affiliated with the hustlers, so we made it
___No answers to questions, I'm trying to get up on it
___My n*gga Dogg with me, eternally the most wanted (Ain't nothin' but a gangsta party)
___
___Ain't nothin' but a gangsta party
___Ain't nothin' but a gangsta party
___Ain't nothin' but a gangsta party
___Ain't nothin' but a gangsta party
___It ain't nothin' but a motherf*cking gangsta party
___Ain't nothin' but a gangsta party
___Nothin' but a gangsta party
___It ain't nothin' but a motherf*cking gangsta party
___Ain't nothin' but a gangsta party
___Nothin' but a gangsta party
___It ain't nothin' but a motherf*cking gangsta party
___Ain't nothin' but a gangsta party
___Nothin' but a gangsta party
___It ain't nothin' but a motherf*cking gangsta party biatch!
___
___Ain't nothin' but a gangsta party
___Ain't nothin' but a gangsta party"

Tupac+Shakur,2 of Amerikaz Most Wanted [DVD]w/ Snoop Dogg,"Up out of there 
___[daz, repeated several times until first verse begins] 
___Ain't nothin' but a gangsta party 
___
___Ahh shit 
___You've done f*cked up now 
___You done put 2 of amerikaz most wanted in the same muthaf*ckin' place 
___At the same muthaf*ckin' time 
___Ya'll n*ggas about to feel this 
___Break out the champagne glasses and muthaf*ckin' condoms 
___Have one on us aight 
___
___Picture perfect 
___I paint a perfect picture 
___Bombin' hooties with percision 
___Mind intensions to get with ya 
___With the s-n double-o-p dogg 
___To help my f*ckin' homie 
___You's a cold ass n*gga on them all 
___
___Sure enough I keep my hand on my gun 
___Cause they got me on the run 
___Now I am back in the court room waitin' on the outcome 
___Free tupac is all that's on a n*ggas mind 
___But at the same time 
___It seem they tryin' to take mine 
___So I am get smart and get the best of this shit 
___And put together a million march plus some gangsta shit 
___
___So now they got us laced 
___Two multi millionaire muthaf*ckas catchin' cases 
___Bitches get ready for the throw down 
___The shits about to go down 
___Uhh, me and snoop about to clown 
___I am losin' my religion 
___I am vicious on these stool pigeons 
___You might be deep in this game 
___But you got some rules missin' 
___n*ggas be actin like we savage 
___See I'm a get the cabbage 
___I got nutin' but love for my n*ggas livin' lavish 
___
___I got a pet named p she n*ggarino 
___I got a house out in the hills right next to chino 
___And I think I got a black beama' 
___But my dream is to own a fly casino 
___Like bugsy segal, and do it all illegal 
___And get scooped up, by the little homie in a regal 
___Uhh it feel good to ya baby bubba 
___You see this is for the g's and the ki's muthaf*cka 
___
___Now follow as we ride 
___Muthaf*ck the rest 
___Two of the best from the westside 
___And I can make you famous 
___n*ggas been dying for years 
___So how could they blame us 
___I live in fear of a felony 
___I never stop ballin' these 
___Mutha f*ckin' g's 
___If ya got it better flaunt it 
___Another warrant 
___2 of amerikaz most wanted 
___
___Chorus 
___[daz] 
___
___Ain't nothin' but a gangsta party (x2) 
___[tupac] 
___Nothin' but a gangsta party 
___[daz] 
___Ain't nothin' but a gangsta party 
___[tupac] 
___Ain't nothin' but a gangsta party 
___It ain't nothin' but a muthaf*ckin' gangsta party 
___[daz] 
___Ain't nothin' but a gangsta party 
___[tupac] 
___Ain't nothin' but a gangsta party 
___It ain't nothin' but a muthaf*ckin' gangsta party 
___[daz] 
___Ain't nothin but a gangsta party 
___[tupac] 
___Now give me 50 feet 
___The feet is not my destiny 
___Release me to the streets 
___And keep what evers left of me 
___Jealousy is misery, suffery is grief 
___Better be prepared when you cowards f*ck with me I 
___I busta free, these n*ggas must be crazy (what) 
___There ain't no mercy mutha f*ckas 
___Who can fade the thugs? 
___You thought it was but it wasn't 
___Now disappear 
___Bow down in the presence of a boss playa 
___
___It's like 'cause, blood, gang banging 
___Everybody in the party doing dope slangin' 
___You got to have papers in this world 
___You might get your first snatch before your eyes swirl 
___Ya doing ya job 
___Every day 
___And then you work so hard till ya hair turn gray 
___Let me tell you about life and 'bout the way it is 
___See we live by the gun so we die by the blood of kids 
___
___They tell me not to roll with my glock 
___So now I got to throw away 
___Floating in the black benz 
___Trying to do a show a day 
___They wonder how I live with 5 shots 
___n*ggas is hard to kill on my block 
___Scheme for currency and dough related 
___Affilliated with the hustlas 
___So we made it 
___Your answer to the question 
___Tryin' to get up on it 
___My n*gga dogg homie and 2 of the most wanted 
___
___Chorus 
___[daz] 
___
___Ain't nuttin but a gangsta party (until fade)"

Tupac+Shakur,"Ain't Hard 2 Findw/ B-Legit, E-40, C-BO, Richie Rich","They say
___
___Influenced by crime, addicted to grindin'
___Where I can pile up my chips
___And n*ggas call me a timer
___I been ballin' since my adolescent years steady climbin'
___Man, you motherf*ckers don't know nuttin' about no timin'
___
___That's right, that's right boy start that shit off
___
___I heard a rumour I died, murdered in cold blood dramatized
___Pictures of me in my final stage you know Mama cried
___But that was fiction, some coward got the story twisted
___Like I no longer existed, mysteriously missin'
___Although I'm worldwide, baby I ain't hard to find
___Why I spend most of my time, my California grind
___Watching for thievin' I'm cautious it's like I'm barely breathin'
___Puttin a bullet in motherf*ckers give me a reason
___See me and hope I'm intoxicated or slightly faded
___You tried to play me now homicide is my only payment
___I'm addicted to currency in this life I lead
___Why the f*ck you cowards be runnin', too scared to fight a G
___For the life of me, I cannot see
___How motherf*ckers picture livin' life after a night of f*ckin' around with me
___And if you don't like this rhyme
___Then bring your big bad ass to California
___'Cause we ain't hard to find
___
___Influenced by crime, addicted to grindin'
___Where I can pile up my chips
___And n*ggas call me a timer
___I been ballin' since my adolescent years steady climbin'
___Motherf*ckers don't know nuttin' about no timin'
___
___I got my locs on hard hat goin' to war
___Breakin' them off on sight, stoppin' lives like red lights
___Watch 'em pause as I pull my strap, out my drawers
___And get to dumpin' on they ass, like the last outlaws
___Rich, 2Pac and the Click, smokin' blunts, loadin' clips
___With enough shit to raise your block in one dip
___We bring on horror like Tales From the Crypt
___And we ain't hard to find is the tales that we kick
___
___I'm fully automatic full of static and shit
___Movin' Dodge van fifty rounds in the clip
___I'm ridin' shot gun with the tint in the back
___I'm plan to have a motherf*ckerin' mint in this rap
___I'm from the V-A-L-L-E-J-O
___Where sellin' narcotics is all I know
___I got blow, speed, bleed, whatever yo' kind
___And if you need a motherf*cker I ain't hard to find
___
___Some may call me Bootsy, but I call it timin'
___That's while I keeps on grindin' (that's right)
___To the point where a n*gga can't stop
___Too much feelin' this shit, that's why I'm quick to peel a bitch
___Whether it's a n*gga or a ho, a ho
___Get in my way, then that ass gots to go
___'Cause a n*gga steady plottin'
___I serves hit for hit, and motherf*ckers keep droppin'
___
___Influenced by crime, addicted to grindin'
___Where I can pile up my chips
___And n*ggas call me a timer
___I been ballin' since my adolescent years steady climbin'
___Man, you motherf*ckers don't know nuttin' about no timin'
___
___Down the steps
___Abandoned broken down apartment complex
___Heavy metal lipstick hairy can't be scary
___Playboy, what the f*ck is the proof without the drama play
___n*gga, what the f*ck you got a gun for, if ya gonna hesitate
___Best shake and bake all those I-was-finst-to-ask n*ggas
___Motherf*ckers-didn't-think-I was-gon'-do-somethin'-ass n*ggas
___Threaten your life, ain't like you love him
___Bury your thoughts, take his head f*ck him have at him (check this out)
___
___I grew up with that n*gga
___Threw up with that n*gga
___I hear he tryin' to ride
___Double-edgin' for the other side
___But now, my Glock be so judgemental
___Back seat of a rental
___Keep my name out your dental, n*gga
___If your gum bleeding and you needing
___More than twenty stitches, you behaved like them bitches
___Sideways to the race
___Heavy in the game
___Check the resident, it's all the same (it's all the same)
___n*gga, and we ain't hard to find
___
___Hell nah we ain't hard to find
___The whole clickilation fool
___Motherf*ckers hard to find, right here biatch
___
___Why them n*ggas acting like they can't find us?
___Like they can't see us and
___Like we don't be at the same spots they be at?
___It's the same congregation
___Young Pac is back (n*gga be lookin' all the way when he see you and shit)
___It's a celebration, (guess who's back) (motherf*ckers better understand this shit)
___Young Pac is back
___Ay D-Shot n*gga can we get paid man?
___Can we just go there and sock this shit up please?
___Hey, we smokin', and we ain't hard to find
___Drinkin' and shit, f*ckin' with some hurricane
___A motherf*cker's gonna get his Marlboro's regardless playa
___You supposed to
___Sideways to the next light
___And to the next coast
___Poppin' motherf*ckin' ball shit you know what I'm sayin'
